,EPIC,CAMPAIGN_x,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day,CAMPAIGN_y,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
262,210653579,C13,15.122,0.072,LS,Y,2.021,0.125,6929.34,69.39,2,0.025,C13,"11,23","4,81","0,07","0,65","0,02",0.67,"0,02",3914,84,"-1,03","0,03","48,1","1,7",M0.0
280,220467322,C8,12.058,0.316,LS,Y,1.408,0.277,5896.78,168.31,5,0.065,C8,"11,05","4,76","0,09","0,66","0,03",0.67,"0,02",3942,92,-1,"0,04","44,7",2,M0.0
303,246379501,C19,8.699,---,SINE,?,0.876,0.03,2979.04,57.47,0,---,C19,"11,66","4,76","0,21","0,66","0,04",0.67,"0,04",3966,122,-1,"0,08","55,4","5,3",M0.0
154,251341401,C16,29.775,0.009,ACF,Y,1.384,0.14,4317.59,60.84,2,0.026,C16,"11,49","4,84","0,14","0,64","0,03",0.66,"0,03",3882,98,"-1,04","0,06","53,3","3,6",M0.0
208,220501313,C8,21.296,0.051,LS,?,0.335,0.021,1113.28,48.84,1,0.013,C8,"11,14","4,87","0,04","0,64","0,02",0.66,"0,01",3866,82,"-1,05","0,02","44,4",1,M0.0
221,247988033,C13,19.787,0.249,LS,Y,0.357,0.101,1364.37,98.88,0,---,C13,"12,08","4,82","0,06","0,65","0,02",0.66,"0,02",3891,83,"-1,03","0,03","72,6","2,2",M0.0
234,212776174,C17,18.474,0.091,ACF,Y,0.585,0.044,1778.07,32.49,5,0.076,C17,"10,03","4,87","0,04","0,64","0,02",0.66,"0,01",3855,87,"-1,05","0,02","27,4","0,7",M0.0
235,212776174,C6,18.015,0.369,LS,Y,0.619,0.06,2193.01,46.15,1,0.013,C17,"10,03","4,87","0,04","0,64","0,02",0.66,"0,01",3855,87,"-1,05","0,02","27,4","0,7",M0.0
237,203099398,C2,17.919,0.845,ACF,Y,0.453,0.033,1995.35,76.23,0,---,C2,"10,63","4,82","0,04","0,65","0,02",0.66,"0,01",3862,84,"-1,03","0,02","36,6","0,8",M0.0
263,201717791,C1,15.048,0.401,LS,Y,0.117,0.038,511.28,97.92,1,0.012,C1,"10,94","4,86","0,06","0,64","0,02",0.66,"0,02",3873,90,"-1,05","0,03","41,1","1,3",M0.0
29,223636719,C11,88.533,---,SINE,?,0.658,0.097,2372.17,106.74,0,---,C11,"10,56","4,89","0,04","0,63","0,02",0.65,"0,01",3854,84,"-1,06","0,02","33,2","0,7",M0.0
56,248030935,C13,61.275,0.655,ACF,?,0.097,0.36,311.86,119.75,1,0.013,C13,"10,38","4,89","0,05","0,63","0,02",0.65,"0,01",3844,81,"-1,06","0,03","30,2","0,8",M0.0
104,201431768,C10,38.988,1.247,SINE,?,0.37,0.022,1074.43,48.29,0,---,C10,"10,62","4,88","0,04","0,63","0,02",0.65,"0,01",3829,86,"-1,06","0,02","34,8","0,8",M0.0
140,201481218,C1,32.037,0.386,ACF,Y,0.254,0.071,1659.18,54.99,2,0.025,C1,"9,62","4,88","0,09","0,63","0,03",0.65,"0,02",3875,89,"-1,06","0,04","22,3",1,M0.0
