angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Date,FNum,Per,r_Per,Amp,Ha,HaLum,FLum,PCat,Simbad,_RA,_DE
0.000000,287.26447,38.8641011,3733753,15.264, 1-17,3713,74,81,4.798,0.066,0.044,0.469,0.042,0.058,15.97,1.2,836.3,36.5,,,,,,0,M17,Simbad,287.26447,38.8641,287.26447,38.8641011,3733753,1415.23,51,16.18,Mc2014,3446,no data,,8.704E-7,2,Simbad,287.26447,38.8641
0.000000,291.76999,38.88929,3748172,15.604, 1-17,3994,107,119,4.701,0.028,0.035,0.601,0.038,0.05,1.04,0.07,13860.2,1780.8,1,,0,0,,1,M17,Simbad,291.76999,38.88929,291.76999,38.88929,3748172,1220.72,242,1.05,Mc2014,26223,no data,,3.421E-5,2,Simbad,291.76999,38.88929
0.000000,285.05515,38.9850081,3831911,15.021, 1-17,3857,97,97,4.717,0.039,0.021,0.535,0.033,0.03,1.81,0.12,16158.8,1558.3,1,-0.891,1,0,,2,M17,Simbad,285.05515,38.98501,285.05515,38.9850081,3831911,1123.1,363,1.838,Mc2014,27223,no data,,3.037E-5,2,Simbad,285.05515,38.98501
0.000000,294.57632,46.5578961,9777379,17.546, 6-17,3109,0,0,5.15,0.0,0.0,0.136,0.0,0.0,24.03,1.9,2542.8,142.4,,,,,,0,M17,Simbad,294.57632,46.5579,294.57632,46.5578961,9777379,672.2,144,24.51,This work,9466,no data,,5.646E-5,0,Simbad,294.57632,46.5579
0.000000,297.74109,46.50695,9786877,15.176, 1-17,3560,63,63,4.908,0.045,0.04,0.36,0.044,0.049,11.28,0.77,3513.1,152.1,,,0,0,,0,M17,Simbad,297.74109,46.50695,297.74109,46.50695,9786877,1064.19,206,11.17,Mc2014,6474,no data,,8.379E-6,2,Simbad,297.74109,46.50695
0.000000,298.79861,46.5567211,9790574,13.23, 0-17,3910,78,86,4.712,0.05,0.036,0.575,0.042,0.063,20.21,2.19,1516.8,52.5,,,0,0,,0,M17,Simbad,298.79861,46.55672,298.79861,46.5567211,9790574,1064.19,47,19.958,Mc2014,2693,no data,,3.104E-7,2,Simbad,298.79861,46.55672
0.000000,284.50009,39.0826419,3934090,15.036, 1-17,3823,84,92,4.73,0.048,0.028,0.526,0.04,0.044,5.72,0.41,2931.5,170.7,,,0,0,,0,M17,Simbad,284.50009,39.08264,284.50009,39.0826419,3934090,848.79,228,5.821,Mc2014,5249,no data,,2.579E-5,1,Simbad,284.50009,39.08264
0.000000,285.05695,39.07449,3935499,15.288, 1-17,3836,69,77,4.706,0.036,0.018,0.545,0.031,0.028,5.16,0.35,15445.8,886.3,,,,,,0,M17,Simbad,285.05695,39.07449,285.05695,39.07449,3935499,848.79,192,5.227,Mc2014,26063,no data,,1.512E-5,2,Simbad,285.05695,39.07449
0.000000,287.07272,39.04295,3940372,15.86, 1-17,3458,47,47,4.849,0.031,0.031,0.423,0.031,0.043,19.52,1.52,4956.1,157.0,,,0,0,,0,M17,Simbad,287.07272,39.04295,287.07272,39.04295,3940372,758.96,72,19.64,Mc2014,10034,no data,,3.495E-6,2,Simbad,287.07272,39.04295
0.000000,287.38351,46.6370511,9821996,16.301,14-17,3716,118,148,4.681,0.076,0.022,0.573,0.036,0.068,14.49,0.95,3396.8,136.6,,,0,0,,0,M17,Simbad,287.38351,46.63705,287.38351,46.6370511,9821996,312.39,81,14.49,This work,7750,no data,1.116509E-4,3.895E-5,0,Simbad,287.38351,46.63705
0.000000,290.66287,46.60952,9828292,15.207, 1-17,3770,76,83,4.747,0.052,0.032,0.508,0.043,0.043,9.56,0.66,12211.0,516.9,,,0,0,,0,M17,Simbad,290.66287,46.60952,290.66287,46.60952,9828292,1415.23,559,9.699,Mc2014,30781,no data,,3.198E-5,2,Simbad,290.66287,46.60952
0.000000,287.38211,39.1809811,4043389,11.377, 0-17,3871,120,147,4.64,0.072,0.014,0.621,0.035,0.06,38.5,2.6,4226.3,87.9,,,0,0,,0,M17,Simbad,287.38211,39.18098,287.38211,39.1809811,4043389,599.53,81,38.626,Mc2014,5334,no data,,4.751E-7,2,Simbad,287.38211,39.18098
0.000000,294.28229,39.1188811,4067894,15.844, 2-17,3360,55,50,4.961,0.055,0.05,0.274,0.057,0.041,4.98,0.35,9911.9,630.9,,,0,0,,2,M17,Simbad,294.28229,39.11888,294.28229,39.1188811,4067894,476.69,131,5.066,Mc2014,20332,no data,,6.426E-5,2,Simbad,294.28229,39.11888
0.000000,295.68192,39.1982689,4074068,15.619, 2-17,3498,36,47,4.987,0.028,0.052,0.311,0.033,0.044,13.71,1.09,4420.7,184.3,,,0,0,,0,M17,Simbad,295.68192,39.19827,295.68192,39.1982689,4074068,485.5,27,13.841,Mc2014,9937,no data,,1.988E-6,2,Simbad,295.68192,39.19827
0.000000,282.59027,46.7266081,9873729,13.553, 0-17,3770,76,83,4.747,0.052,0.032,0.508,0.043,0.048,18.73,1.35,1919.2,60.1,,,,,,0,M17,Simbad,282.59027,46.72661,282.59027,46.7266081,9873729,1320.58,44,19.022,Mc2014,3230,no data,,2.505E-7,2,Simbad,282.59027,46.72661
0.000000,292.6059,46.79026,9892651,15.809, 1-17,3646,58,65,4.836,0.044,0.036,0.445,0.028,0.048,2.49,0.17,5347.2,476.5,1,,,,,0,M17,Simbad,292.6059,46.79026,292.6059,46.79026,9892651,622.03,131,2.541,This work,11071,no data,,2.303E-5,0,Simbad,292.6059,46.79026
0.000000,287.3223,39.2814789,4142890,13.723, 1-17,3683,117,147,4.688,0.08,0.02,0.564,0.036,0.072,18.6,1.4,6711.2,202.6,,,0,0,,0,M17,Simbad,287.3223,39.28148,287.3223,39.2814789,4142890,788.45,329,18.765,Mc2014,11321,absorption,,9.434E-6,2,Simbad,287.3223,39.28148
0.000000,287.32983,39.2010611,4142913,10.91, 0-17,3410,107,107,4.907,0.12,0.08,0.345,0.095,0.116,38.24,3.06,1609.2,41.5,,,0,0,,0,M17,Simbad,287.32983,39.20106,287.32983,39.2010611,4142913,788.45,102,39.06,This work,2917,no data,,1.706E-7,0,Simbad,287.32983,39.20106
0.000000,295.69882,39.26685,4175707,15.02, 1-17,3983,140,155,4.649,0.06,0.02,0.615,0.041,0.064,0.41,,9591.5,1972.2,1,,1,0,,1,M17,Simbad,295.69882,39.26685,295.69882,39.26685,4175707,698.63,152,0.388,Mc2014,16370,no data,,4.283E-5,1,Simbad,295.69882,39.26685
0.000000,285.09195,39.3759611,4242514,15.65, 1-17,3434,41,46,5.001,0.031,0.054,0.286,0.04,0.044,30.84,2.2,2381.4,64.0,,,0,0,,0,M17,Simbad,285.09195,39.37596,285.09195,39.3759611,4242514,698.63,34,31.52,Mc2014,4150,no data,,2.575E-6,2,Simbad,285.09195,39.37596
0.000000,282.02136,46.80463,9933464,15.528, 1-17,3311,39,36,5.087,0.04,0.044,0.19,0.032,0.029,1.2,0.16,9872.5,1190.1,1,,0,0,,1,M17,Simbad,282.02136,46.80463,282.02136,46.80463,9933464,1234.74,452,1.226,Mc2014,18585,no data,,1.81E-5,2,Simbad,282.02136,46.80463
